Title,Description,Category,Condition,Estimated Median Sale Price,Photo Files,eBay - Brand,eBay - Type,eBay - Material,eBay - Color,eBay - Country/Region of Manufacture,Quantity
NOS Porsche Emblem Badge Crest 901.559.210.20F (1994),New old stock Porsche crest emblem badge with part number 901.559.210.20F. Dated 08/11/94. Original packaging included.,eBay Motors > Parts & Accessories > Car & Truck Parts,New,50,"10BF6E4D-0A47-4E40-B251-9F280BF5C494.jpeg, C22D8239-81A2-4ECD-9206-ABCC2E7F3E80.jpeg",Porsche,Emblem,Metal,Gold/Black,Germany,1
Civil War Minie Balls (2) - .60 Caliber Lead Bullets,"Two authentic Civil War-era Minie ball bullets, .60 caliber lead, 3-ringer design. Recovered in Collierville, TN. Handwritten provenance included.",Collectibles > Militaria > Civil War (1861-65) > Bullets,Good,20,"243D4F13-6A13-48D6-AA08-BE2067B74531.jpeg, 67AA35FF-28E5-44C2-AC01-EF79943AB9F6.jpeg",Unbranded,Bullet,Lead,Gray,United States,1
Confederate States $1 Bill - Civil War Currency (Damaged),"Original Confederate States of America $1 bill from Richmond, VA. Visible wear, split down center, heavy aging and patina.",Collectibles > Paper Money > US > Confederate Currency,Poor,12,"26B953C3-9E1C-4F55-BD9F-D3897BF1D05F.jpeg, 92D45B1B-B9EC-4F63-A817-225BAFE2B661.jpeg",CSA,Currency,Paper,Brown,Confederate States,1
1786 Rhode Island Colonial $3 Note,"Historic three-dollar bill issued by the State of Rhode Island and Providence Plantations in 1786. Clear legible print, minor wear. Rare piece of American currency history.",Collectibles > Paper Money > US > Colonial Currency,Good,75,"5abBcj5BAW7ZF2J3E1gADD.jpeg, YCWvtwa2p3qdjFUCdyBov2.jpeg",Rhode Island,Colonial Currency,Paper,Tan,United States,1
1792 Virginia Colonial Note - $250,"Historic Virginia $250 colonial currency note. Issued March 14, 1781, redeemable in 1792. Features script signatures and complex border design.",Collectibles > Paper Money > US > Colonial Currency,Good,85,"73DA1F28-B618-49A2-B1F5-25F4A19B3ACE.jpeg, 793B0E7A-F834-4936-8EB0-2E34250B3FBF.jpeg",Virginia,Colonial Note,Paper,Brown,United States,1
1786 New Hampshire $7 Colonial Note,"Rare $7 New Hampshire colonial note, issued April 29, 1786. Canceled with center punch. Fine colonial-era engraving and hand-signed.",Collectibles > Paper Money > US > Colonial Currency,Good,80,"6F35E2D9-2E2B-485B-9144-830C93C1B89A.jpeg, 510C8F42-B152-42E1-92E3-3CAA88191CBE.jpeg",New Hampshire,Colonial Note,Paper,Tan,United States,1
1778 North Carolina $4 Colonial Currency Note,"Four-dollar bill from North Carolina, dated August 8, 1778. Printed by James Davis. Features phrase 'Death to Arbitrary Kings'.",Collectibles > Paper Money > US > Colonial Currency,Good,95,"DA47BA4A-5DF4-402B-BDFC-3E704CF60F28.jpeg, 17B9AD2B-24E0-4C2F-8410-6E2543CC621D.jpeg",North Carolina,Colonial Note,Paper,Brown,United States,1
1780 Continental Congress $7 Note - Hall & Sellers,"Continental Congress-issued $7 interest-bearing note printed by Hall and Sellers. Issued March 18, 1780. Central emblem and script signatures visible.",Collectibles > Paper Money > US > Colonial Currency,Good,65,"7tnMWxVAgh4Fv9mKtuDvhk.jpeg, 3q3PWhaqHgR3pNiBvQB4FY.jpeg",United States,Continental Note,Paper,Tan,United States,1
Faded Colonial Note Backside - Possible Match to Rhode Island,"Worn and faded reverse side of a colonial paper currency, likely associated with Rhode Island issue. Significant text loss. Sold as historical artifact.",Collectibles > Paper Money > US > Colonial Currency,Poor,30,KJB4v5ZddgJAuqvKoDDLni.jpeg,Unknown,Colonial Note,Paper,Brown,United States,1
1780 Connecticut Ten Shillings Colonial Note,"Authentic June 1, 1780 Ten Shillings colonial currency from New London, CT. Printed by T. Green. Ornate detailing with dual-side typography and seals.",Collectibles > Paper Money > US > Colonial Currency,Good,29,"13C98318-DDF9-4663-A218-CAC56B6107A3.jpeg, 907F8707-E6F7-4D57-90CA-A69720886C4A.jpeg, DF15B68D-479F-4395-8311-15CB1E299F7C.jpeg",Unbranded,Collectible,Mixed Materials,Multicolor,Unknown,1
1862 Virginia $100 Confederate Note,"1862 Confederate $100 note from Virginia, features vivid engraving of George Washington and allegorical female figures. Serial #4499, dated Oct. 15th, 1862.",Collectibles > Paper Money > US > Confederate Currency,Good,34,"43AFEC74-F111-4C54-95DC-91B2440B5872.jpeg, F7C452CD-4D73-42D5-B12A-6C1B9D1A5AB7.jpeg, 67065752-D283-4C62-88FB-38C6C6450572.jpeg",Unbranded,Collectible,Mixed Materials,Multicolor,Unknown,1
1864 Confederate $100 Note - Lucy Pickens,"Civil War-era $100 Confederate States note, dated November 28, 1864, Richmond. Features Lucy Pickens and vignettes of slaves harvesting cotton.",Collectibles > Paper Money > US > Confederate Currency,Fair,39,"5A35B9CC-96FA-4149-BA41-944F90D2B450.jpeg, E51EFA2F-1AD8-4F7C-83DE-FFB4DAB1006F.jpeg, A7C24A7C-F4CC-478E-91B7-F94D58BD79A0.jpeg, D832B6D0-32D6-4CE9-8526-9C81E1166070.jpeg",Unbranded,Collectible,Mixed Materials,Multicolor,Unknown,1
1862 North Carolina $1 Civil War Note,"Rare $1 Civil War-era banknote from The State of North Carolina, dated Sept. 1, 1862. Features ornate borders and serial number #1508.",Collectibles > Paper Money > US > Confederate Currency,Fair,32,"F4A0CE5C-BD6E-4FB2-8906-0B367898358B.jpeg, E7463543-644E-4E3A-A35A-5350E9440227.jpeg, 96B44F42-3150-4442-8E6D-A9F75DC26F11.jpeg",Unbranded,Collectible,Mixed Materials,Multicolor,Unknown,1
1862 Mississippi $100 Confederate Treasury Note,"Scarce State of Mississippi $100 Treasury Note from the Civil War, dated Jan. 1, 1862. Engravings of women, children, and agriculture scenes.",Collectibles > Paper Money > US > Confederate Currency,Good,33,"DE5E19D5-6FEF-4C02-B6FA-77462FDBDD4A.jpeg, F9E93A91-EF15-49B8-9DC1-33D7117E8E7C.jpeg, FC0724A5-A39D-432E-9228-70243479741D.jpeg",Unbranded,Collectible,Mixed Materials,Multicolor,Unknown,1
1935 German 5 Reichsmark Coin Pendant,1935 Deutsches Reich 5 Reichsmark coin pendant featuring Potsdam Garrison Church on reverse. Mounted with bail for wearing.,Collectibles > Historical Memorabilia > Nazi Period Items,Very Good,30,"0FB5B589-208B-4320-9745-166CBCD8B94B.jpeg, 6C5F77D6-18DC-43A8-A0BE-00A103221013.jpeg",Unbranded,Collectible,Mixed Materials,Multicolor,Unknown,1
Olympus Camedia C-8080 Wide Zoom Digital Camera,"Olympus Camedia C-8080 digital camera with 5x wide zoom, 8MP sensor. Includes strap and carry case. Screen and lens untested.",Electronics > Cameras & Photography > Digital Cameras,Good,31,"BDC3891B-0544-44CE-BAC5-353D04EF3FA5.jpeg, A7D4F0F6-C290-4843-8C3D-84C99807F3EE.jpeg",Unbranded,Camera,Plastic,Multicolor,Unknown,1
"1935 German 5 Reichsmark Coin Pendant - Deutsches Reich, Church Motif","Vintage 1935 5 Reichsmark coin from the Deutsches Reich, repurposed as a pendant. Features a prominent church design on one side and the imperial eagle on the other. Coin shows moderate wear with a solid patina, mounted on a bail for use as jewelry.",Collectibles > Historical Memorabilia > Coins & Paper Money,Good,28,"D7A5D0C8-FD60-4580-9CCB-C936A3B3A979.jpeg, 046927F1-0A74-4158-9A22-8E263CE7D3ED.jpeg",Unbranded,Collectible,Mixed Materials,Multicolor,Unknown,1
Olympus Camedia C-3000 Zoom Digital Camera w/ Case & Manual,"Olympus Camedia C-3000 Zoom Digital Camera with 3.3 megapixels, 3x optical zoom and 2.5x digital zoom. Includes camera bag, lens cap, and original card setup instructions. Great for collectors or vintage digital camera enthusiasts. Untested, sold as-is.",Electronics > Cameras & Photography > Digital Cameras,Good,36,"2D6A9E83-F789-4700-95B8-6F2617AB8428.jpeg, 674C88BA-A07E-4C3A-B616-567C9FC2750E.jpeg",Unbranded,Camera,Plastic,Multicolor,Unknown,1
Sony Microcassette-Corder M-560V Voice Recorder - Vintage Handheld,Sony M-560V Microcassette-Corder with Clear Voice Plus and VOR (Voice Operated Recording) features. Uses 2 AA batteries. Clean exterior with minor cosmetic wear. Cassette compartment appears functional. Ideal for vintage tech collectors or parts.,Electronics > Vintage Electronics > Audio Devices,Good,35,"DA47BA4A-5DF4-402B-BDFC-3E704CF60F28.jpeg, 17B9AD2B-24E0-4C2F-8410-6E2543CC621D.jpeg",Unbranded,Collectible,Mixed Materials,Multicolor,Unknown,1
Bushnell Binoculars w/ Case - Compact Black Rubber Grip,"Compact Bushnell binoculars with rubberized grip and central focusing knob. Includes fitted Bushnell-branded carrying case with strap. Shows light wear, optics appear clear. Great for birdwatching, hiking, or sports events.","Sporting Goods > Hunting > Scopes, Optics & Lasers > Binoculars",Very Good,38,"73DA1F28-B618-49A2-B1F5-25F4A19B3ACE.jpeg, 793B0E7A-F834-4936-8EB0-2E34250B3FBF.jpeg",Unbranded,Collectible,Mixed Materials,Multicolor,Unknown,1
Pentax SF10 35mm SLR Film Camera with Takumar-F 28-80mm Zoom Lens,"Capture timeless photos with this Pentax SF10 35mm SLR film camera, bundled with a Takumar-F 28-80mm zoom lens. Offers auto and manual focus modes, a built-in flash, and a durable build ideal for enthusiasts of analog photography. Includes wrist strap.",Electronics > Cameras & Photo > Film Photography > Film Cameras,Good,65,"486F724C-F312-4474-AB04-2D7616975387.jpeg, B5C8835D-A0FB-42D1-A153-15C1D38BABAA.jpeg, 5DF90E58-58D5-4033-BF50-3EF900580DC8.jpeg, 36BDEE76-74D6-4868-883C-8F978D5217E5.jpeg, EACE19C6-7AE5-416B-B0E0-B29B1B9D3820.jpeg, 5B35821A-143F-4A43-A308-1AB809DCBCB7.jpeg",Pentax,SLR Film Camera,Plastic,Black,Japan,1
Rolleiflex Automat MX Vintage Twin Lens Reflex Camera with Leather Case,"Vintage Rolleiflex Automat MX TLR camera made in Germany, known for its high-quality build and medium format performance. Comes with original leather case. Features Schneider-Kreuznach lenses and manual settings—perfect for collectors and analog enthusiasts.",Electronics > Cameras & Photo > Film Photography > Film Cameras,Very Good,250,"070B886E-44F3-477B-BC52-3B859F480BFA.jpeg, 47CD8ACF-AAB6-4DE0-887F-AD87ED25AA37.jpeg, 9EC20DB3-497D-4FD5-B4F3-1B48587ECC15.jpeg, D1F2622D-FABF-43D6-A1BD-9D5982F5D920.jpeg, 43A57A15-DBB5-4765-AF9F-B237D7AC9CA6.jpeg, 92249D03-F282-4668-B512-3EF2BE0020CF.jpeg, D434D07B-EA66-455C-BA7D-4BE368F0374B.jpeg, 4CD7BB97-0FE6-4F8F-AFDE-D7EAD911F4D7.jpeg",Rolleiflex,TLR Film Camera,Metal,Black,Germany,1
TIME Magazine Bicentennial Issue - George Washington Cover,"A special bicentennial issue of TIME Magazine featuring George Washington on the cover. This collectible magazine commemorates the 200th anniversary of the United States and is in good condition, making it a valuable addition to any historical collection.",Collectibles > Magazines > Time Magazine,Good,12,"296EF28A-9D4E-481E-B414-08339EC759B1.jpeg, 17265743-E55E-4057-AA66-DC13243BFFAF.jpeg, 7FF9880A-BB34-42FD-8015-14E86EB5F4A2.jpeg",Unbranded,Collectible,Mixed Materials,Multicolor,United States,1
TIME Magazine Bicentennial Issue - Thomas Jefferson Cover,"A special bicentennial issue of TIME Magazine featuring Thomas Jefferson on the cover. This collectible magazine commemorates the 200th anniversary of the United States and is in good condition, making it a valuable addition to any historical collection.",Collectibles > Magazines > Time Magazine,Good,12,"35FE1FDF-FFA0-402E-B9AC-0FE891233F3D.jpeg, 38AF85C7-BDB6-4E12-B3E8-BD0CEF9E9E9C.jpeg, EFCDDE57-4F1E-490A-BEBF-170E78AABCD6.jpeg",Unbranded,Collectible,Mixed Materials,Multicolor,United States,1
TWA Letterhead and Envelopes (Various Sizes and Formats),"A collection of TWA letterhead and envelopes in various sizes and formats, perfect for collectors of vintage airline memorabilia. These items feature the iconic TWA logo and are in good condition, showcasing the airline's classic branding.",Collectibles > Paper > Stationery,Good,15,"06AE15DC-ACD4-4FB8-A9AA-B21065C53608.jpeg, A20374EF-7E5A-4585-A6D6-1EA7E5B82F4A.jpeg, BD82C620-1318-48B2-8F62-54F48D2520E5.jpeg",TWA,Collectible,Mixed Materials,Multicolor,Unknown,1
Vintage TWA Airline Flight Bag,"Vintage red TWA branded flight bag with white piping, adjustable strap, and zip closure. Shows some signs of wear from storage, but maintains a bold graphic and structure. A fantastic retro travel accessory or collectible airline memorabilia item.",Vintage > Bags & Luggage > Travel Bags,Fair,24,"4BC9379C-3663-435C-B4FF-AD21D6B72583.jpeg, 8FD638A0-C100-4352-A4C3-1465609FE8FF.jpeg, FEF6FEA3-B2DC-4D78-B07A-E5F3100F371B.jpeg",TWA,Luggage Tag,Mixed Materials,Red,Unknown,1
Levi Strauss S.F. CAL Brass Paperweight,Round solid brass paperweight with embossed Levi Strauss branding around the edge. A bold collectible piece for denim enthusiasts or vintage office décor lovers.,Collectibles > Advertising > Merchandise & Memorabilia > Clothing,Good,20,F807A42C-36E8-4FB8-93F7-37A9E0789B82.jpeg,Levi's,Collectible,Paper,Multicolor,Unknown,1
Vintage TWA Luggage Tag,Vintage TWA plastic luggage tag with bold red logo on off-white background. Shows aging and patina appropriate for its age.,Travel > Luggage Accessories > Luggage Tags,Good,10,14947887-81F6-4C78-B399-DA1B8F764EC3.jpeg,TWA,Luggage Tag,Plastic,Red,Unknown,1
Vintage TWA Red Circle Coaster (Felt Bottom),Circular red TWA coaster with a felted bottom. Perfect for collectors of aviation memorabilia or mid-century barware.,Collectibles > Breweriana > Coasters,Good,8,643EEDB8-8F60-45B2-A518-805747992772.jpeg,TWA,Luggage Tag,Mixed Materials,Red,Unknown,1
TWA Flight Service Manager Name Tag - Karin Tempesta,"Vintage TWA name tag for Karin Tempesta, Flight Service Manager based in St. Louis. A rare collectible airline ID badge with raised black lettering.",Collectibles > Transportation > Aviation > Airlines > TWA,Good,14,26BA46BC-BD8B-4F17-87A7-B771571B3365.jpeg,TWA,Luggage Tag,Mixed Materials,Black,Unknown,1
Vintage TWA Crew ID Badge - Tempesta K.,"Original TWA crew ID badge issued to Tempesta K., featuring handwritten flight routing, multiple international airport security stamps, and a bold TWA Crew reverse side. In protective case.",Collectibles > Transportation > Aviation > Airlines > TWA,Fair,18,"57A3E1BE-FDBB-45F0-B132-3B857F18132D.jpeg, 57B4A057-1383-49DC-B7C4-FA39280306D4.jpeg",TWA,Badge,Mixed Materials,Multicolor,Unknown,1
TWA Flight Procedures Plastic Reference Card,Vintage TWA laminated crew card listing FAA-required steps before door close and aircraft movement. Circa 1990s. Measures ~3.5x5.5 inches. #TWA #airlinecollectible #aviationmemorabilia,Collectibles > Transportation > Aviation > Airline > TWA,Good,,,TWA,Collectible,Mixed Materials,Red,Unknown,1
Mercedes-Benz Hood Ornament in Box - A124880008667,Genuine OEM Mercedes-Benz emblem in original packaging. Model A124880008667. Great for collectors or replacement. #MercedesBenz #OEMparts #hoodornament,eBay Motors > Parts & Accessories > Car & Truck Parts > Exterior > Emblems,New,,,Mercedes-Benz,Emblem,Mixed Materials,Multicolor,Unknown,1
TWA In-Flight Announcement Binder Pages (1998),1998-dated TWA in-flight announcement script binder pages for flight crew. Vintage safety and procedure memorabilia. Includes multiple laminated pages. #TWA #flightmanual #aviationhistory,Collectibles > Transportation > Aviation > Airline > TWA,Good,,,TWA,Manual,Mixed Materials,Multicolor,Unknown,1
Walmart 4-Star Cashier Pin - August 2000,"Vintage Walmart employee recognition pin for 4-Star Cashier, dated August 2000. Gold-tone with bold text and star design. Measures approx 1.25 inches.",Collectibles > Historical Memorabilia > Business & Industrial > Retail & Services,Good,12,"E96EB271-A8F6-450D-B750-91026F055796.JPG, 7130DE4B-F095-419D-97D0-1A9FA7FF53F7.JPG",Walmart,Employee Recognition Pin,Metal,Gold,Unknown,1
Lladro Christmas Bell Ornament - 1991 Nativity Scene,"Elegant Lladro porcelain Christmas bell from 1991, featuring a detailed Nativity scene. Made in Spain. Matte bisque finish with rose-pink trim and original clapper.",Collectibles > Holiday & Seasonal > Christmas: Current (1991-Now) > Ornaments,Very Good,38,"BD84D917-AE3F-43EE-AE43-F02AEEFBE4EF.JPG, 35F0A7E8-3FB1-49A3-8308-A529E89BFC7A.JPG, B231CE44-A1A9-4834-A2A9-CEE992DE9E60.JPG, 0FA54C78-EC9A-4719-8D10-CA5C5375E438.JPG, 531AF963-6711-4C7F-9E5D-882C18120E2A.JPG",Lladro,Christmas Ornament Bell,Porcelain,White/Rose,Spain,1
Set of 3 TWA Jet Cutout Ceramic Tiles - Vintage Airline Decor,"Set of three ceramic tiles featuring TWA jet cutout silhouettes. Likely used in terminal or promotional decor. Approx 4.25"" square. Rare aviation collectible.",Collectibles > Transportation > Airline > TWA,Good,45,"AC1E1FB5-C7F7-4897-A0AA-56968A261456.JPG, CXSnrw2boRKKPpFRfQZ2fF.JPG",TWA,Decorative Tile Set,Ceramic,White,Unknown,1
TWA ABCO International Airline Dishware Set - 4 Pieces,"Vintage TWA airline porcelain dishware set by ABCO International. Includes dinner plate, salad plate, coffee mug, and bowl. All feature the TWA emblem with red stripe design. Great for collectors of aviation memorabilia.",Collectibles > Transportation > Airline > TWA,Very Good,65,"37A65373-09EE-4677-A1B9-07AF12DEAAF1.JPG, 516A00FB-6A7D-4A53-AF63-1AC274CA1CD0.JPG, 34010764-28BF-4CD9-8A5A-5305C0B6C2E7.JPG, 0F67B26F-544D-4906-B222-7259705E3F53.JPG",TWA,Airline Dishware Set,Porcelain,White/Red,Unknown,1
TWA Red Plastic Propeller Toy,Vintage red plastic toy propeller marked with TWA on both sides. Likely an airline giveaway or promotional item. Measures approx 4.5 inches long.,Collectibles > Transportation > Airline > TWA,Good,18,"B7C3C677-2B0E-4E7E-8C32-D6D27AD4DF83.JPG, AEC53DA0-630A-480E-A87A-301C5B6B5C17.JPG",TWA,Toy Propeller,Plastic,Red,Unknown,1
TWA Address Book – Vintage Airline Memorabilia,Sealed vintage TWA-branded address book with gold-cornered cover and red lettering. Made in China. Compact and collectible airline promotional item.,Collectibles > Transportation > Airline > TWA,New,20,"C79E3404-A689-4E65-B7AF-AB11CEE9B270.JPG, 9A15055E-B9CD-476D-B411-DFC4900B4866.JPG",TWA,Address Book,Paper/Plastic,Black/Red,China,1
TWA Postcard Collage with Vintage Pin - Cabin Scene,Collectible TWA postcard featuring a vintage in-cabin photo collage paired with a classic metal wing pin. Ideal for airline memorabilia collectors. Measures approx 5x7 inches.,Collectibles > Transportation > Airline > TWA,Very Good,22,2FD03B02-584F-46D7-AB40-F8F7D6078B03.JPG,TWA,Postcard with Pin,Paper/Metal,Multicolor,Unknown,1
Lot of 3 TWA Collector Postcards with Metal Pins,Set of 3 vintage TWA postcards featuring iconic airline images and attached collectible pins. A nostalgic tribute to the golden age of air travel. Each postcard measures approx 5x7 inches.,Collectibles > Transportation > Airline > TWA,Very Good,34,"E75FEE04-499B-49CC-BA14-7E8417E8A7CB.poster.JPG, 93F9B7BE-3C32-4AF7-B397-CAAE33308317.JPG, 2688767B-A7EB-4D15-8506-3DF835AD2488.JPG",TWA,Postcard Lot with Pins,Paper/Metal,Multicolor,Unknown,1
TWA Flight Attendant Wings Pins – Bulk Lot of 20,"Bulk lot of 20 vintage TWA wings-style pins, likely used for flight attendants or promotional purposes. Gold-tone metal with red detailing. Great for resale or display.",Collectibles > Transportation > Airline > TWA,New,75,5735A998-1E3A-4E71-9BF5-5D962A3A8259.JPG,TWA,Flight Wings Pins (Bulk),Metal,Gold/Red,Unknown,5
"TWA Scale Model Aircraft Set (1:600) - 747, L-1011, 727","Vintage boxed set of 1:600 scale TWA aircraft models including 747, L-1011, and 727. Packaged in original red TWA branded box with molded tray.",Collectibles > Transportation > Airline > TWA,Very Good,40,"F0BA9A0E-74BD-46A9-9E54-52667094A75D.JPG, 24EE2C1B-3D2B-4801-A385-B6414B76636B.JPG, 3F90C6B2-17EF-48AA-81D0-CD90930EED59.JPG",TWA,Scale Model Aircraft Set,Plastic,White/Red,Unknown,1
TWA Kansas City Stationery Set - 12 Vintage Notecards & Envelopes,Official TWA notecard collection titled 'Kansas City's Hometown Airline.' Includes 12 illustrated vintage-style notecards and envelopes featuring classic aircraft and airline themes. Produced under license by The Kansas City Star.,Collectibles > Transportation > Airline > TWA,New,26,"17F00A85-B97F-4B6D-AC97-AB7E3FC6A272.JPG, 2BC170A5-EE76-4697-A918-37513B5D09A3.JPG, 37D315A1-E379-49AF-B1C5-3FFAE0B8830A.JPG, F09881B6-D7E8-401C-971E-E24385DBBB5D.JPG, B6C7C464-4D76-4695-A538-57AFD5CEA810.JPG",TWA,Notecard Set,Paper,Multicolor,Hong Kong,1
TWA Collector Postcard - Howard Hughes & Aviators Montage,"TWA vintage postcard featuring Howard Hughes in full flight gear, surrounded by famous aviation pioneers. A unique collector card from the Kansas City series.",Collectibles > Transportation > Airline > TWA,Very Good,9,"27C49166-9475-428E-B2ED-BE7C06614B6C.JPG, A8DC8F83-49BC-4FC8-A556-D4CF40C98344.JPG",TWA,Postcard,Paper,Multicolor,Hong Kong,1
TWA x Pepsi Playing Cards – Sealed Promotional Deck,"Vintage sealed deck of TWA x Pepsi playing cards featuring branding from both iconic companies. A unique piece of promotional memorabilia, ideal for collectors of airline or beverage history.",Collectibles > Transportation > Airline > TWA,New,16,"5BE00237-041C-49AD-B1F3-71DD95E5F682.JPG, 993D102F-194B-490B-9AFE-7581457A93AB.JPG",TWA,Playing Cards,Paper,Multicolor,Unknown,1
Porsche Crest Patch – Stuttgart Logo Embroidered Badge,"Vintage Porsche embroidered patch featuring the iconic Stuttgart crest. Ideal for jackets, bags, or display. A must-have for Porsche or automobilia collectors.",Collectibles > Transportation > Automobilia > Patches,Very Good,15,"37A9E1D1-8D6F-4A30-9175-90F180C25B3C.JPG, 792239A7-9536-44FD-971D-1160B51DCB34.JPG",Porsche,Patch,Fabric,Multicolor,Unknown,1
Levi's Gold Watch with Brown Leather Strap – 1991,Classic Levi's wristwatch from 1991 with gold-tone case and brown leather strap. Features date window and quartz movement. Light surface wear consistent with age.,Jewelry & Watches > Watches > Wristwatches,Good,38,"FBA7A090-13A7-4B16-B177-0DAAABACEED6.JPG, 6DA9D492-5D83-4585-91CC-C58D568E687F.JPG, FA7DC8C3-A78C-436B-8885-E46E322A883E.JPG, ED4A7E70-4BAF-4372-B326-2B8CC29B983F.JPG",Levi's,Wristwatch,Metal/Leather,Gold/Brown,Japan,1
